date,scenario,sim_days,Portfolio Value,VaR_95,VaR_99,ES_95,ES_99
20260116,normal,10,113003.10668945312,-10210.743035297264,-15499.011181654092,-13537.4932057976,-17824.712544988994
20260116,stress,10,113003.10668945312,-18405.732726398383,-24715.888125964088,-22329.41686661651,-28376.524100842325
20260119,normal,1,114661.33251953124,-3777.9045618894866,-5594.038758629695,-4907.304470450083,-6462.960631641635
20260119,stress,1,114661.33251953124,-5975.0035988564505,-8044.557016690322,-7358.176543561645,-9429.0059620831
20260119,normal,10,114661.33251953124,-9718.04516955797,-13990.684968796912,-12943.194909424335,-17394.817396705283
20260119,stress,10,114661.33251953124,-20367.779808606025,-25023.48538156912,-24250.79114003528,-30428.62686954809
20260120,normal,1,112525.341796875,-3645.721281866997,-5286.423980995987,-4628.28731869152,-5800.849146783113
20260120,stress,1,112525.341796875,-5663.740548801777,-7695.634091252108,-6926.958999385691,-8688.301316121495
20260120,normal,10,112525.341796875,-9790.500544218532,-14343.787346748502,-12575.95953087622,-16198.537787652178
20260120,stress,10,112525.341796875,-18082.31029093191,-29438.58465207387,-23303.234129172568,-31286.625065088516
20260121,normal,1,112146.31787109376,-3879.4854105043687,-5281.874733371602,-4855.217969056371,-6471.617209495584
20260121,stress,1,112146.31787109376,-5717.722401140382,-7376.2289891704495,-6838.635258008655,-8450.54984777522
20260121,normal,10,112146.31787109376,-9336.388835873751,-15185.276898571865,-12843.228641865282,-16913.40480049774
20260121,stress,10,112146.31787109376,-19697.76366005611,-28494.035945338033,-24932.806369420392,-32952.924298951075
20260122,normal,1,112172.5986328125,-3520.79906164138,-4822.031172235706,-4315.723063010266,-5409.100724245234
20260122,stress,1,112172.5986328125,-5854.514441126745,-7309.238058196094,-6877.480119757633,-8188.566680675275
20260122,normal,10,112172.5986328125,-9413.964868504128,-15959.544186341947,-13265.447230394731,-19859.81520460396
20260122,stress,10,112172.5986328125,-17894.52855233029,-24514.71732604121,-21427.542618732034,-26392.52240786005
20260123,normal,1,110484.27221679688,-3439.145547150285,-4556.78315557955,-4116.951147246186,-5151.707242564326
20260123,stress,1,110484.27221679688,-5342.512856778314,-7314.817323574257,-6594.098366729972,-8595.579654307245
20260123,normal,10,110484.27221679688,-10183.839302397888,-14416.391127470146,-13093.8234023594,-16637.289815704826
20260123,stress,10,110484.27221679688,-17764.36059820104,-25501.23073190499,-22747.18338411631,-29286.98758033182
20260126,normal,1,109367.22509765624,-3262.510538117879,-4392.09956957444,-4013.626763941826,-5218.443837969591
20260126,stress,1,109367.22509765624,-5960.722200629697,-7695.510959610813,-6982.829607949142,-8574.217131959116
20260126,normal,10,109367.22509765624,-8910.612702659368,-14475.23719803096,-12215.52503822972,-16325.423512555615
20260126,stress,10,109367.22509765624,-17084.324797981415,-23568.713742413012,-22042.47968574522,-32076.00692498411
20260127,normal,1,109642.62182617188,-3143.4893355393665,-4439.390713473991,-3951.3689747112526,-5017.469861331936
20260127,stress,1,109642.62182617188,-5301.900463544455,-7036.222761974164,-6229.337692339312,-7608.332165340343
20260127,normal,10,109642.62182617188,-9237.19971502855,-12850.962640898988,-11716.72352324996,-15641.325221864998
20260127,stress,10,109642.62182617188,-18048.876887485203,-24035.079199643445,-21699.63917850996,-27146.683703564475
20260128,normal,1,109226.93090820312,-3353.6292393468098,-4637.7095116101555,-4154.930926486946,-5223.630449709477
20260128,stress,1,109226.93090820312,-5708.343674265569,-8031.542427304888,-6950.852194428778,-8986.487914502553
20260128,normal,10,109226.93090820312,-9010.975653856853,-14225.525515373314,-12196.241512396831,-17284.598207171184
20260128,stress,10,109226.93090820312,-17748.819322865984,-24657.95315610739,-22926.33068568705,-29696.75968708881
20260129,normal,1,107648.541015625,-3638.397746556411,-5197.272575206879,-4566.298967035025,-5549.546127363477
20260129,stress,1,107648.541015625,-5789.500376672929,-7443.728649454506,-6820.086065630114,-8077.448612934827
20260129,normal,10,107648.541015625,-9950.723311578631,-15690.79379105488,-13217.506463362042,-17719.169460411576
20260129,stress,10,107648.541015625,-17969.869816521343,-25198.56834449802,-22189.392902420317,-27849.64404984609
20260130,normal,1,106704.30346679688,-3441.0541156444547,-4971.543918585075,-4379.637986813795,-5334.315587445963
20260130,stress,1,106704.30346679688,-5761.3463108388405,-7604.658253603479,-6908.058454720604,-8492.06725555019
